Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound,Label
109857,172.16.0.5-192.168.50.1-528-47330-17,172.16.0.5,528,192.168.50.1,47330,17,00:13.9,2,2,0,458,0,229,229,229,0,0,0,0,0,2.29E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,229,229,229,0,0,0,0,0,0,0,0,0,0,0,343.5,229,0,-2,0,0,0,0,0,0,2,458,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,sybil_SNMP
238192,172.16.0.5-192.168.50.1-529-26888-17,172.16.0.5,529,192.168.50.1,26888,17,00:13.9,1,2,0,458,0,229,229,229,0,0,0,0,0,4.58E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,229,229,229,0,0,0,0,0,0,0,0,0,0,0,343.5,229,0,-2,0,0,0,0,0,0,2,458,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,sybil_SNMP
82963,172.16.0.5-192.168.50.1-530-3723-17,172.16.0.5,530,192.168.50.1,3723,17,00:13.9,1,2,0,458,0,229,229,229,0,0,0,0,0,4.58E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,229,229,229,0,0,0,0,0,0,0,0,0,0,0,343.5,229,0,-2,0,0,0,0,0,0,2,458,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,sybil_SNMP
205787,172.16.0.5-192.168.50.1-531-38862-17,172.16.0.5,531,192.168.50.1,38862,17,00:13.9,1,2,0,458,0,229,229,229,0,0,0,0,0,4.58E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,229,229,229,0,0,0,0,0,0,0,0,0,0,0,343.5,229,0,-2,0,0,0,0,0,0,2,458,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,sybil_SNMP
83411,172.16.0.5-192.168.50.1-532-35383-17,172.16.0.5,532,192.168.50.1,35383,17,00:13.9,1,2,0,458,0,229,229,229,0,0,0,0,0,4.58E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,229,229,229,0,0,0,0,0,0,0,0,0,0,0,343.5,229,0,-2,0,0,0,0,0,0,2,458,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,sybil_SNMP
73681,172.16.0.5-192.168.50.1-533-5998-17,172.16.0.5,533,192.168.50.1,5998,17,00:13.9,2,2,0,458,0,229,229,229,0,0,0,0,0,2.29E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,229,229,229,0,0,0,0,0,0,0,0,0,0,0,343.5,229,0,-2,0,0,0,0,0,0,2,458,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,sybil_SNMP
116527,172.16.0.5-192.168.50.1-534-11176-17,172.16.0.5,534,192.168.50.1,11176,17,00:13.9,1,2,0,458,0,229,229,229,0,0,0,0,0,4.58E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,229,229,229,0,0,0,0,0,0,0,0,0,0,0,343.5,229,0,-2,0,0,0,0,0,0,2,458,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,sybil_SNMP
80783,172.16.0.5-192.168.50.1-648-57889-17,172.16.0.5,648,192.168.50.1,57889,17,00:13.9,1,2,0,458,0,229,229,229,0,0,0,0,0,4.58E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,229,229,229,0,0,0,0,0,0,0,0,0,0,0,343.5,229,0,-2,0,0,0,0,0,0,2,458,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,sybil_SNMP
70148,172.16.0.5-192.168.50.1-535-31852-17,172.16.0.5,535,192.168.50.1,31852,17,00:13.9,1,2,0,422,0,211,211,211,0,0,0,0,0,4.22E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,211,211,211,0,0,0,0,0,0,0,0,0,0,0,316.5,211,0,-2,0,0,0,0,0,0,2,422,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,sybil_SNMP
98458,172.16.0.5-192.168.50.1-536-55689-17,172.16.0.5,536,192.168.50.1,55689,17,00:13.9,1,2,0,458,0,229,229,229,0,0,0,0,0,4.58E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,229,229,229,0,0,0,0,0,0,0,0,0,0,0,343.5,229,0,-2,0,0,0,0,0,0,2,458,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,sybil_SNMP
