Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound,Label
281052,172.16.0.5-192.168.50.1-53058-53058-6,172.16.0.5,53058,192.168.50.1,53058,6,30:30.7,115799309,19,2,0,0,0,0,0,0,0,0,0,0,0,0.181348232,5789965.45,7370247.318,21714933,0,115799309,6433294.944,7505276.689,21714933,0,48,48,0,48,48,0,0,0,0,380,40,0.164076972,0.01727126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,380,0,0,0,0,0,0,19,0,2,0,5840,0,0,20,244280.1429,646237.4837,1709809,1,14261168.5,3220326.157,21714933,11043464,0,1,Syn
450424,172.16.0.5-192.168.50.1-32237-32237-6,172.16.0.5,32237,192.168.50.1,32237,6,30:30.7,113973933,16,0,0,0,0,0,0,0,0,0,0,0,0,0.140382977,7598262.2,8575156.77,20019405,0,113973933,7598262.2,8575156.77,20019405,0,0,0,0,0,0,0,0,0,0,320,0,0.140382977,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,320,0,0,0,0,0,0,16,0,0,0,5840,-1,0,20,9,19.59591794,49,1,16281982.71,2573891.025,20019405,11993631,0,1,Syn
182979,172.16.0.5-192.168.50.1-60495-9840-6,172.16.0.5,60495,192.168.50.1,9840,6,30:30.7,112,2,2,0,0,0,0,0,0,0,0,0,0,0,35714.28571,37.33333333,63.79916405,111,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,40,17857.14286,17857.14286,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,40,0,0,0,0,0,0,2,0,2,0,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,Syn
41540,172.16.0.5-192.168.50.1-59724-59724-6,172.16.0.5,59724,192.168.50.1,59724,6,30:30.7,105985004,16,0,0,0,0,0,0,0,0,0,0,0,0,0.150964753,7065666.933,8074003.241,20954123,1,105985004,7065666.933,8074003.241,20954123,1,0,0,0,0,0,0,0,0,0,320,0,0.150964753,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,320,0,0,0,0,0,0,16,0,0,0,5840,-1,0,20,7.857142857,17.70525884,48,1,15140706.86,3077366.46,20954123,11120336,0,1,Syn
358711,172.16.0.5-192.168.50.1-60496-32538-6,172.16.0.5,60496,192.168.50.1,32538,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
562049,172.16.0.5-192.168.50.1-64360-3944-6,172.16.0.5,64360,192.168.50.1,3944,6,30:30.7,118305721,16,2,0,0,0,0,0,0,0,0,0,0,0,0.152148179,6959160.059,9098368.31,26025834,0,118305721,7887048.067,9314787.359,26025834,0,1,1,0,1,1,0,0,0,0,320,40,0.135242826,0.016905353,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,320,0,0,0,0,0,0,16,0,2,0,5840,0,0,20,43.33333333,73.32348419,128,1,16900798.57,4972162.445,26025834,11491935,0,1,Syn
197274,172.16.0.5-192.168.50.1-60497-16439-6,172.16.0.5,60497,192.168.50.1,16439,6,30:30.7,53,2,2,0,0,0,0,0,0,0,0,0,0,0,75471.69811,17.66666667,28.86751346,51,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,40,40,37735.84906,37735.84906,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,40,0,0,0,0,0,0,2,0,2,0,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,Syn
772169,172.16.0.5-192.168.50.1-60498-37911-6,172.16.0.5,60498,192.168.50.1,37911,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
509589,172.16.0.5-192.168.50.1-60499-61011-6,172.16.0.5,60499,192.168.50.1,61011,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
681751,172.16.0.5-192.168.50.1-51442-51442-6,172.16.0.5,51442,192.168.50.1,51442,6,30:30.7,113085390,18,2,0,0,0,0,0,0,0,0,0,0,0,0.176857506,5951862.632,7467217.339,19689044,0,113085297,6652076.294,7601335.038,19689044,0,0,0,0,0,0,0,0,0,0,360,40,0.159171755,0.017685751,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,360,0,0,0,0,0,0,18,0,2,0,5840,0,0,20,9,19.59591794,49,1,14135655.25,3342427.225,19689044,11276362,0,1,Syn
645187,172.16.0.5-192.168.50.1-60500-53674-6,172.16.0.5,60500,192.168.50.1,53674,6,30:30.7,48,2,0,0,0,0,0,0,0,0,0,0,0,0,41666.66667,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,40,0,41666.66667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
25877,172.16.0.5-192.168.50.1-60501-9840-6,172.16.0.5,60501,192.168.50.1,9840,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
251298,172.16.0.5-192.168.50.1-60502-20687-6,172.16.0.5,60502,192.168.50.1,20687,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
0,192.168.50.8-52.43.17.8-59972-443-6,52.43.17.8,443,192.168.50.8,59972,6,30:30.7,0,2,0,0,0,0,0,0,0,0,0,0,0,,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,114,-1,0,20,0,0,0,0,0,0,0,0,0,1,BENIGN
72864,172.16.0.5-192.168.50.1-772-938-6,172.16.0.5,772,192.168.50.1,938,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
94880,172.16.0.5-192.168.50.1-29903-29903-6,172.16.0.5,29903,192.168.50.1,29903,6,30:30.7,110385971,18,2,0,0,0,0,0,0,0,0,0,0,0,0.181182444,5809787.947,7396228.885,20567239,0,110385971,6493292.412,7538350.612,20567239,0,1,1,0,1,1,0,0,0,0,360,40,0.1630642,0.018118244,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,360,0,0,0,0,0,0,18,0,2,0,5840,0,0,20,23.375,32.87177469,85,1,13798223,3833444.016,20567239,8049405,0,1,Syn
42522,192.168.50.8-52.43.17.8-59972-443-6,192.168.50.8,59972,52.43.17.8,443,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,16127,-1,0,20,0,0,0,0,0,0,0,0,0,0,BENIGN
174959,172.16.0.5-192.168.50.1-60503-14893-6,172.16.0.5,60503,192.168.50.1,14893,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
38657,172.16.0.5-192.168.50.1-60504-39415-6,172.16.0.5,60504,192.168.50.1,39415,6,30:30.7,48,2,0,0,0,0,0,0,0,0,0,0,0,0,41666.66667,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,40,0,41666.66667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
271461,172.16.0.5-192.168.50.1-60505-39415-6,172.16.0.5,60505,192.168.50.1,39415,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
211720,172.16.0.5-192.168.50.1-60506-39070-6,172.16.0.5,60506,192.168.50.1,39070,6,30:30.7,51,2,2,0,0,0,0,0,0,0,0,0,0,0,78431.37255,17,28.58321186,50,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,40,40,39215.68627,39215.68627,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,40,0,0,0,0,0,0,2,0,2,0,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,Syn
624190,172.16.0.5-192.168.50.1-60507-53534-6,172.16.0.5,60507,192.168.50.1,53534,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
459797,172.16.0.5-192.168.50.1-60508-44832-6,172.16.0.5,60508,192.168.50.1,44832,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
410406,172.16.0.5-192.168.50.1-60509-63613-6,172.16.0.5,60509,192.168.50.1,63613,6,30:30.7,49,2,0,0,0,0,0,0,0,0,0,0,0,0,40816.32653,49,0,49,49,49,49,0,49,49,0,0,0,0,0,0,0,0,0,40,0,40816.32653,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
473163,172.16.0.5-192.168.50.1-62888-2472-6,172.16.0.5,62888,192.168.50.1,2472,6,30:30.7,112870958,14,0,0,0,0,0,0,0,0,0,0,0,0,0.124035449,8682381.385,11663066.17,38638163,1,112870958,8682381.385,11663066.17,38638163,1,0,0,0,0,0,0,0,0,0,280,0,0.124035449,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,280,0,0,0,0,0,0,14,0,0,0,5840,-1,0,20,1.166666667,0.40824829,2,1,18811825,9889443.827,38638163,12036351,0,1,Syn
65656,172.16.0.5-192.168.50.1-60510-46444-6,172.16.0.5,60510,192.168.50.1,46444,6,30:30.7,88,2,2,0,0,0,0,0,0,0,0,0,0,0,45454.54545,29.33333333,49.07477288,86,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,40,40,22727.27273,22727.27273,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,40,0,0,0,0,0,0,2,0,2,0,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,Syn
376038,172.16.0.5-192.168.50.1-60511-14677-6,172.16.0.5,60511,192.168.50.1,14677,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
253971,172.16.0.5-192.168.50.1-60512-34622-6,172.16.0.5,60512,192.168.50.1,34622,6,30:30.7,110,2,2,0,0,0,0,0,0,0,0,0,0,0,36363.63636,36.66666667,60.91250556,107,1,1,1,0,1,1,2,2,0,2,2,0,0,0,0,40,40,18181.81818,18181.81818,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,40,0,0,0,0,0,0,2,0,2,0,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,Syn
749513,172.16.0.5-192.168.50.1-60513-57281-6,172.16.0.5,60513,192.168.50.1,57281,6,30:30.7,108,2,2,0,0,0,0,0,0,0,0,0,0,0,37037.03704,36,59.75784467,105,1,2,2,0,2,2,1,1,0,1,1,0,0,0,0,40,40,18518.51852,18518.51852,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,40,0,0,0,0,0,0,2,0,2,0,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,Syn
527966,172.16.0.5-192.168.50.1-56693-56693-6,172.16.0.5,56693,192.168.50.1,56693,6,30:30.7,85663114,10,2,0,0,0,0,0,0,0,0,0,0,0,0.14008363,7787555.818,11343777.1,28229358,1,85663114,9518123.778,11929845.43,28229358,1,1,1,0,1,1,0,0,0,0,200,40,0.116736359,0.023347272,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,200,0,0,0,0,0,0,10,0,2,0,5840,0,0,20,19.25,36.5,74,1,21415759,6308199.357,28229358,13957695,0,1,Syn
415264,172.16.0.5-192.168.50.1-60514-56693-6,172.16.0.5,60514,192.168.50.1,56693,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
114804,172.16.0.5-192.168.50.1-60515-10602-6,172.16.0.5,60515,192.168.50.1,10602,6,30:30.7,48,2,0,0,0,0,0,0,0,0,0,0,0,0,41666.66667,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,40,0,41666.66667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
679227,172.16.0.5-192.168.50.1-60516-26549-6,172.16.0.5,60516,192.168.50.1,26549,6,30:30.7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,Syn
