Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound,Label
256565,172.16.0.5-192.168.50.1-34012-2334-17,172.16.0.5,34012,192.168.50.1,2334,17,47:08.5,1,2,0,884,0,442,442,442,0,0,0,0,0,8.84E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,442,442,442,0,0,0,0,0,0,0,0,0,0,0,663,442,0,-2,0,0,0,0,0,0,2,884,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,wormhole_NetBIOS
252918,172.16.0.5-192.168.50.1-34013-50170-17,172.16.0.5,34013,192.168.50.1,50170,17,47:08.5,1,2,0,2346,0,1173,1173,1173,0,0,0,0,0,2.35E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,1173,1173,1173,0,0,0,0,0,0,0,0,0,0,0,1759.5,1173,0,-2,0,0,0,0,0,0,2,2346,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,wormhole_NetBIOS
174257,172.16.0.5-192.168.50.1-34014-61534-17,172.16.0.5,34014,192.168.50.1,61534,17,47:08.5,1,2,0,942,0,471,471,471,0,0,0,0,0,9.42E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,471,471,471,0,0,0,0,0,0,0,0,0,0,0,706.5,471,0,-2,0,0,0,0,0,0,2,942,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,wormhole_NetBIOS
185193,172.16.0.5-192.168.50.1-34015-8930-17,172.16.0.5,34015,192.168.50.1,8930,17,47:08.5,1,2,0,1020,0,510,510,510,0,0,0,0,0,1.02E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,510,510,510,0,0,0,0,0,0,0,0,0,0,0,765,510,0,-2,0,0,0,0,0,0,2,1020,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,wormhole_NetBIOS
198671,172.16.0.5-192.168.50.1-34016-33040-17,172.16.0.5,34016,192.168.50.1,33040,17,47:08.5,2,2,0,1002,0,501,501,501,0,0,0,0,0,5.01E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,501,501,501,0,0,0,0,0,0,0,0,0,0,0,751.5,501,0,-2,0,0,0,0,0,0,2,1002,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,wormhole_NetBIOS
92569,172.16.0.5-192.168.50.1-61850-1825-17,172.16.0.5,61850,192.168.50.1,1825,17,47:08.5,1,2,0,918,0,459,459,459,0,0,0,0,0,9.18E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,459,459,459,0,0,0,0,0,0,0,0,0,0,0,688.5,459,0,-2,0,0,0,0,0,0,2,918,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,wormhole_NetBIOS
128370,172.16.0.5-192.168.50.1-34017-44498-17,172.16.0.5,34017,192.168.50.1,44498,17,47:08.5,2,2,0,868,0,434,434,434,0,0,0,0,0,4.34E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,434,434,434,0,0,0,0,0,0,0,0,0,0,0,651,434,0,-2,0,0,0,0,0,0,2,868,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,wormhole_NetBIOS
214213,172.16.0.5-192.168.50.1-34018-57927-17,172.16.0.5,34018,192.168.50.1,57927,17,47:08.5,2,2,0,2944,0,1472,1472,1472,0,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,0,0,0,0,2208,1472,0,-2,0,0,0,0,0,0,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,wormhole_NetBIOS
186,172.16.0.5-192.168.50.1-0-0-0,172.16.0.5,0,192.168.50.1,0,0,47:08.5,119708369,4114,194,0,0,0,0,0,0,0,0,0,0,0,35.98745882,27793.90968,309666.6631,5975857,0,119708276,29104.8568,316836.9812,5976003,0,118936376,616250.6528,1405935.952,5978411,1,0,0,0,0,0,0,34.36685367,1.620605156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4114,0,194,0,-1,-1,0,0,4833681.364,2478741.713,12284737,4024166,5917271,193721.4311,5975857,5333179,0,1,wormhole_NetBIOS
72231,172.16.0.5-192.168.50.1-34019-57601-17,172.16.0.5,34019,192.168.50.1,57601,17,47:08.5,1,2,0,910,0,455,455,455,0,0,0,0,0,9.10E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,455,455,455,0,0,0,0,0,0,0,0,0,0,0,682.5,455,0,-2,0,0,0,0,0,0,2,910,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,wormhole_NetBIOS
